job_title,country,experience_level,education_level,year,salary,ai_risk_score,primary_skill,skill_demand_score,job_openings,job_survival_class,salary_bucket,ai_risk_category
Data Scientist,India,Entry,Bachelor,2027,859.5409999999999,0.37,Python,73,10435,1,Low,Medium Risk
ML Engineer,Australia,Entry,Bachelor,2028,2866.273,0.28,Python,89,31445,2,High,Low Risk
AI Researcher,Germany,Senior,Master,2028,7426.107000000001,0.18,Deep Learning,64,30899,2,High,Low Risk
Data Analyst,India,Mid,Master,2033,834.771,0.73,SQL,85,36247,0,Low,High Risk
Data Analyst,Canada,Mid,Master,2015,1655.757,0.55,SQL,95,38220,1,Medium,Medium Risk
Cloud Engineer,Germany,Mid,Master,2032,4068.208,0.42,AWS,69,15069,1,High,Medium Risk
DevOps Engineer,Canada,Entry,Master,2022,2374.786,0.27,Docker,93,41158,2,High,Low Risk
Cybersecurity Analyst,UK,Mid,Bachelor,2027,2923.028,0.27,Security,78,36257,2,High,Low Risk
Cloud Engineer,Australia,Senior,Master,2020,5124.316000000001,0.3,AWS,64,17364,2,High,Medium Risk
Business Analyst,India,Senior,PhD,2015,979.216,0.65,Excel,83,39646,1,Low,High Risk
AI Researcher,Canada,Senior,PhD,2015,5520.471,0.05,Deep Learning,87,26471,2,High,Low Risk
Data Scientist,Australia,Mid,Bachelor,2029,3938.594,0.39,Python,79,19071,1,High,Medium Risk
ML Engineer,USA,Mid,Master,2025,5653.468000000001,0.25,Python,94,36195,2,High,Low Risk
Software Engineer,UK,Mid,Master,2027,3172.559,0.47,Java,96,39155,2,High,Medium Risk
Cybersecurity Analyst,UK,Mid,Bachelor,2030,3372.3880000000004,0.3,Security,92,47247,2,High,Medium Risk
Data Analyst,Australia,Senior,Bachelor,2026,3493.911,0.66,SQL,88,44404,1,High,High Risk
Software Engineer,Australia,Entry,PhD,2016,1652.02,0.36,Java,61,32996,1,Medium,Medium Risk
Data Analyst,India,Entry,Bachelor,2034,605.9150000000001,0.74,SQL,94,28350,0,Low,High Risk
ML Engineer,India,Entry,Master,2018,837.076,0.18,Python,67,24132,1,Low,Low Risk
Product Manager,India,Mid,PhD,2023,1524.358,0.38,Strategy,85,12261,1,Medium,Medium Risk
Cloud Engineer,India,Senior,PhD,2018,1911.6139999999998,0.28,AWS,66,4267,1,Medium,Low Risk
ML Engineer,Germany,Entry,PhD,2015,2181.014,0.15,Python,70,1412,1,High,Low Risk
Cybersecurity Analyst,Canada,Senior,Master,2027,4092.8940000000002,0.27,Security,84,24548,2,High,Low Risk
Software Engineer,USA,Senior,PhD,2035,7230.436,0.55,Java,69,39756,2,High,Medium Risk
Software Engineer,USA,Senior,Master,2034,7790.074999999999,0.54,Java,94,49816,2,High,Medium Risk
Data Scientist,Canada,Entry,Master,2032,2875.523,0.42,Python,95,38841,2,High,Medium Risk
AI Researcher,Australia,Mid,Bachelor,2031,4935.077,0.21,Deep Learning,91,24190,2,High,Low Risk
Cloud Engineer,USA,Mid,Master,2018,4558.035,0.28,AWS,96,45811,2,High,Low Risk
AI Researcher,Germany,Senior,Master,2019,5382.461000000001,0.09,Deep Learning,72,44286,2,High,Low Risk
AI Researcher,India,Senior,PhD,2035,3278.835,0.25,Deep Learning,89,47352,2,High,Low Risk
Cybersecurity Analyst,Canada,Senior,Master,2029,4739.6179999999995,0.29,Security,79,47959,2,High,Low Risk
AI Researcher,Australia,Senior,Master,2025,6693.397999999999,0.15,Deep Learning,72,1698,2,High,Low Risk
Software Engineer,USA,Mid,Master,2022,3506.568,0.42,Java,95,17779,1,High,Medium Risk
Business Analyst,Canada,Senior,PhD,2027,4053.295,0.77,Excel,78,37939,1,High,High Risk
Cloud Engineer,USA,Mid,Master,2020,4299.019,0.3,AWS,87,18101,2,High,Medium Risk
Business Analyst,India,Mid,Master,2025,942.172,0.75,Excel,78,6486,0,Low,High Risk
Cybersecurity Analyst,Canada,Senior,Master,2032,4588.464,0.32,Security,64,38259,2,High,Medium Risk
Data Analyst,Canada,Entry,Bachelor,2022,1276.0420000000001,0.62,SQL,80,41419,1,Medium,High Risk
AI Researcher,UK,Senior,Bachelor,2030,8623.503999999999,0.2,Deep Learning,75,28192,2,High,Low Risk
Business Analyst,UK,Entry,Bachelor,2024,1607.737,0.74,Excel,98,23925,1,Medium,High Risk
Software Engineer,UK,Senior,Bachelor,2024,4848.154,0.44,Java,64,24714,1,High,Medium Risk
Product Manager,Germany,Mid,PhD,2031,4584.936,0.46,Strategy,70,7801,1,High,Medium Risk
Cloud Engineer,UK,Senior,PhD,2025,6568.945,0.35,AWS,68,24625,2,High,Medium Risk
Cloud Engineer,Australia,Mid,Master,2024,4026.0989999999997,0.34,AWS,76,12516,1,High,Medium Risk
Cybersecurity Analyst,India,Entry,PhD,2021,749.629,0.21,Security,72,40081,1,Low,Low Risk
Cloud Engineer,USA,Senior,PhD,2020,6503.977,0.3,AWS,86,20065,2,High,Medium Risk
Software Engineer,India,Senior,Master,2023,1555.683,0.43,Java,88,27962,1,Medium,Medium Risk
Product Manager,Canada,Senior,Master,2018,4968.145,0.33,Strategy,60,18749,1,High,Medium Risk
Software Engineer,Germany,Entry,Master,2020,1924.562,0.4,Java,66,38080,1,Medium,Medium Risk
Cybersecurity Analyst,USA,Senior,PhD,2019,5089.852,0.19,Security,95,36909,2,High,Low Risk
Cybersecurity Analyst,USA,Entry,PhD,2024,2754.893,0.24,Security,78,7588,1,High,Low Risk
ML Engineer,Australia,Mid,Bachelor,2015,3160.9360000000006,0.15,Python,98,26289,2,High,Low Risk
Product Manager,Germany,Mid,Master,2029,4414.2880000000005,0.44,Strategy,98,16485,2,High,Medium Risk
Cloud Engineer,India,Entry,Master,2030,1114.853,0.4,AWS,72,22233,1,Medium,Medium Risk
Data Scientist,USA,Mid,Master,2017,3686.746,0.27,Python,79,14116,2,High,Low Risk
Product Manager,Australia,Senior,Bachelor,2019,5553.161,0.34,Strategy,98,40298,2,High,Medium Risk
ML Engineer,Canada,Mid,Bachelor,2022,3838.147,0.22,Python,84,34591,2,High,Low Risk
Data Scientist,Canada,Mid,PhD,2034,4105.161,0.44,Python,65,3105,1,High,Medium Risk
Product Manager,India,Senior,Master,2029,2210.504,0.44,Strategy,91,23700,1,High,Medium Risk
Business Analyst,Germany,Senior,Master,2024,3029.152,0.74,Excel,80,21559,1,High,High Risk
Product Manager,Canada,Entry,PhD,2018,2294.009,0.33,Strategy,70,12003,1,High,Medium Risk
Software Engineer,Australia,Entry,Master,2017,1649.366,0.37,Java,94,31354,1,Medium,Medium Risk
ML Engineer,India,Entry,PhD,2017,973.973,0.17,Python,77,7190,1,Low,Low Risk
ML Engineer,USA,Mid,Master,2034,6764.651,0.34,Python,73,43356,2,High,Medium Risk
Business Analyst,Germany,Entry,Bachelor,2024,1617.0229999999997,0.74,Excel,62,20087,0,Medium,High Risk
Cybersecurity Analyst,Australia,Mid,Bachelor,2022,2908.6330000000003,0.22,Security,70,14323,1,High,Low Risk
Cybersecurity Analyst,Australia,Senior,PhD,2021,4434.814,0.21,Security,75,22447,2,High,Low Risk
AI Researcher,USA,Senior,Bachelor,2035,10689.636,0.25,Deep Learning,83,1667,2,High,Low Risk
ML Engineer,Germany,Entry,Bachelor,2016,2091.907,0.16,Python,87,37487,2,High,Low Risk
ML Engineer,Germany,Senior,PhD,2033,6726.746000000001,0.33,Python,87,28355,2,High,Medium Risk
Cybersecurity Analyst,UK,Entry,Master,2024,2056.723,0.24,Security,95,21159,2,High,Low Risk
AI Researcher,Germany,Senior,PhD,2030,7002.644,0.2,Deep Learning,76,39088,2,High,Low Risk
Business Analyst,USA,Senior,Bachelor,2028,4913.654,0.78,Excel,79,36547,1,High,High Risk
Cloud Engineer,Canada,Mid,Bachelor,2017,2892.727,0.27,AWS,72,35349,1,High,Low Risk
Software Engineer,Australia,Senior,PhD,2015,3336.05,0.35,Java,65,6713,1,High,Medium Risk
Cybersecurity Analyst,Canada,Entry,Bachelor,2030,2205.752,0.3,Security,64,11136,1,High,Medium Risk
DevOps Engineer,Australia,Mid,Master,2020,3206.94,0.25,Docker,89,24793,2,High,Low Risk
Product Manager,UK,Senior,Master,2017,5172.624,0.32,Strategy,64,2015,1,High,Medium Risk
Business Analyst,Germany,Mid,Master,2025,2218.791,0.75,Excel,60,35961,0,High,High Risk
Data Scientist,India,Mid,Master,2030,1591.31,0.4,Python,70,24833,1,Medium,Medium Risk
Cybersecurity Analyst,Australia,Mid,PhD,2016,2307.5389999999998,0.16,Security,81,7970,1,High,Low Risk
Business Analyst,USA,Mid,Master,2025,3402.9300000000003,0.75,Excel,72,21384,0,High,High Risk
Data Scientist,UK,Senior,Bachelor,2032,6302.290000000001,0.42,Python,94,9702,2,High,Medium Risk
Business Analyst,UK,Entry,Bachelor,2031,1938.538,0.81,Excel,65,13763,0,Medium,High Risk
Cloud Engineer,Canada,Mid,PhD,2029,4315.351000000001,0.39,AWS,90,10860,2,High,Medium Risk
Data Analyst,India,Mid,PhD,2019,738.7479999999999,0.59,SQL,82,24524,0,Low,Medium Risk
Cybersecurity Analyst,UK,Senior,Master,2018,4067.281,0.18,Security,69,33201,2,High,Low Risk
Data Analyst,Australia,Senior,Bachelor,2020,2726.231,0.6,SQL,80,39765,1,High,High Risk
Cybersecurity Analyst,Canada,Entry,PhD,2028,2043.434,0.28,Security,72,22949,1,High,Low Risk
Data Scientist,India,Entry,Master,2018,820.716,0.28,Python,99,43783,2,Low,Low Risk
ML Engineer,UK,Senior,Master,2031,6783.242,0.31,Python,90,8239,2,High,Medium Risk
Cybersecurity Analyst,UK,Mid,Master,2022,2604.598,0.22,Security,93,44125,2,High,Low Risk
Business Analyst,Canada,Entry,Master,2021,1602.951,0.71,Excel,71,43944,0,Medium,High Risk
Product Manager,Canada,Senior,Bachelor,2017,4803.454,0.32,Strategy,64,25285,2,High,Medium Risk
Cybersecurity Analyst,UK,Mid,PhD,2023,3123.443,0.23,Security,76,20198,2,High,Low Risk
Data Analyst,Germany,Senior,Master,2033,3138.446,0.73,SQL,74,2252,0,High,High Risk
Product Manager,Australia,Mid,Bachelor,2029,4515.191000000001,0.44,Strategy,61,27698,1,High,Medium Risk
DevOps Engineer,UK,Mid,Master,2032,4184.5470000000005,0.37,Docker,97,14051,2,High,Medium Risk
DevOps Engineer,UK,Mid,Master,2021,3802.564,0.26,Docker,93,9017,2,High,Low Risk
Software Engineer,Canada,Mid,Bachelor,2028,3182.5029999999997,0.48,Java,86,11209,1,High,Medium Risk
Data Analyst,Germany,Senior,Master,2027,2967.1320000000005,0.67,SQL,97,32703,1,High,High Risk
AI Researcher,Australia,Senior,Bachelor,2030,8260.978,0.2,Deep Learning,89,5854,2,High,Low Risk
Data Analyst,India,Senior,PhD,2025,1175.5230000000001,0.65,SQL,76,38660,0,Medium,High Risk
Data Scientist,UK,Entry,PhD,2029,2586.7470000000003,0.39,Python,76,22833,1,High,Medium Risk
Data Analyst,Australia,Entry,Master,2035,1911.985,0.75,SQL,79,37932,0,Medium,High Risk
ML Engineer,USA,Mid,Master,2025,5984.196,0.25,Python,61,5300,2,High,Low Risk
Product Manager,Australia,Mid,PhD,2017,3099.8320000000003,0.32,Strategy,70,7254,1,High,Medium Risk
Cloud Engineer,Australia,Senior,Master,2025,5361.630999999999,0.35,AWS,75,7238,2,High,Medium Risk
Business Analyst,Canada,Entry,PhD,2017,1323.5120000000002,0.67,Excel,75,25071,0,Medium,High Risk
Software Engineer,Australia,Senior,Master,2022,4128.241,0.42,Java,63,43679,1,High,Medium Risk
Data Scientist,UK,Entry,PhD,2018,2098.6549999999997,0.28,Python,91,37034,2,High,Low Risk
Business Analyst,India,Senior,Master,2015,1053.1999999999998,0.65,Excel,91,11161,0,Medium,High Risk
Data Analyst,Germany,Entry,Master,2026,1424.971,0.66,SQL,78,22508,0,Medium,High Risk
Cloud Engineer,UK,Entry,Bachelor,2031,3092.0150000000003,0.41,AWS,81,14716,1,High,Medium Risk
AI Researcher,Canada,Senior,Bachelor,2020,5887.307,0.1,Deep Learning,64,40144,2,High,Low Risk
ML Engineer,USA,Senior,Master,2034,9606.122,0.34,Python,93,43928,2,High,Medium Risk
Software Engineer,UK,Senior,Bachelor,2022,4576.926,0.42,Java,86,24624,2,High,Medium Risk
Business Analyst,Australia,Mid,Master,2023,2152.498,0.73,Excel,81,11478,0,High,High Risk
Data Analyst,UK,Mid,PhD,2032,2542.714,0.72,SQL,76,30721,1,High,High Risk
ML Engineer,USA,Mid,Master,2033,6944.433999999999,0.33,Python,67,15178,2,High,Medium Risk
Cybersecurity Analyst,Australia,Mid,PhD,2023,2666.2419999999997,0.23,Security,74,1302,1,High,Low Risk
Business Analyst,Germany,Entry,Master,2030,1730.235,0.8,Excel,81,9717,0,Medium,High Risk
Data Scientist,India,Mid,PhD,2026,1361.4560000000001,0.36,Python,82,3125,1,Medium,Medium Risk
Product Manager,Germany,Senior,Master,2015,4280.186,0.3,Strategy,85,5621,2,High,Medium Risk
AI Researcher,Germany,Entry,PhD,2016,2178.163,0.06,Deep Learning,66,6122,1,High,Low Risk
Product Manager,Australia,Mid,Master,2022,4054.012,0.37,Strategy,77,41441,2,High,Medium Risk
Product Manager,Germany,Entry,PhD,2021,2305.477,0.36,Strategy,74,47271,1,High,Medium Risk
Product Manager,Germany,Senior,PhD,2019,4607.089,0.34,Strategy,96,11267,2,High,Medium Risk
Data Scientist,Australia,Senior,Bachelor,2024,4649.797,0.34,Python,76,30926,2,High,Medium Risk
Business Analyst,USA,Senior,Master,2019,3777.833,0.69,Excel,84,40056,1,High,High Risk
Data Scientist,Germany,Mid,PhD,2028,3365.834,0.38,Python,84,43563,2,High,Medium Risk
ML Engineer,India,Entry,PhD,2026,1084.825,0.26,Python,77,27734,1,Medium,Low Risk
DevOps Engineer,Canada,Mid,Bachelor,2023,3442.206,0.28,Docker,81,15369,1,High,Low Risk
Business Analyst,Germany,Senior,Master,2018,2894.293,0.68,Excel,99,16728,1,High,High Risk
Business Analyst,USA,Entry,Bachelor,2027,2362.469,0.77,Excel,96,20123,1,High,High Risk
DevOps Engineer,Germany,Entry,Master,2015,1891.125,0.2,Docker,93,11167,1,Medium,Low Risk
Cybersecurity Analyst,Canada,Entry,Master,2026,2056.7889999999998,0.26,Security,65,4812,1,High,Low Risk
